"","estc_id","title","sum","n"
"2192","T16298","The pleasing instructor or Entertaining moralist",151970,46
"2193","T16299","The pleasing instructor",152338,47
"2194","T16300","The pleasing instructor",163227,62
"2195","T16301","The pleasing instructor",103574,31
"2196","T163114","A letter to the Rev. Mr. Dean",1385,7
"2197","T163690","Anecdotes",2238,9
"2198","T163743","The great duty of contentment, and resignation to the will of God, recommended",1825,5
"2199","T163762","The beauties of the Spectators",783960,429
"2200","T163794","The great importance of a religious life consider'd",1875,3
"2201","T163852","Cato",1584,4
"2202","T163862","The authentic & interesting history of Miss Moreton",357,1
"2203","T163984","A collection of apothegms and maxims for the good conduct of life",10523,68
"2204","T164060","An account of life character, and parliamentary conduct of the Right Honourable Henry Boyle, Esq; speaker of the Hon. House of Commons, one of His Majesty's Most Honourable Privy Council, and twelve times sworn one of the lords justices of Ireland",408,4
"2205","T164202","Cato. A tragedy",1598,4
"2206","T164239","The compleat works of that eminent minister of God's word Mr. Isaac Ambrose",704,1
"2207","T164240","The compleat works of that eminent minister of God's word",1512,5
"2208","T164302","The adventures of Roderick Random",78,1
"2209","T164303","The adventures of Roderick Random",79,1
"2210","T164304","The adventures of Roderick Random",67,1
"2211","T164306","The adventures of Roderick Random",86,1
"2212","T164321","Addresses to young men",658,6
"2213","T164366","Barford abbey, a novel",119,1
"2214","T164598","Des effets de la violence et de la modération dans les affaires de France",144,1
"2215","T164623","The age of reason",670,1
"2216","T16481","Cato",1575,4
"2217","T164872","A companion for the grand festival of the Christian Church or the Lord's-Day",462,1
"2218","T165116","Chearful companion containing a select collection of favourite Scots and English songs, catches, &c many of which are originals",1578,2
"2219","T165140","Considerations on the institution and conduct of the Society for the Propagation of the Gospel in Foreign Parts. By East Apthorp, M.A. missionary at Cambridge",584,6
"2220","T165251","Chinese tales: or, The wonderful adventures of the Mandarin Fum-Hoam",9988,6
"2221","T165302","The choice",63,1
"2222","T165372","An essay for composing a harmony between the Psalms, and other parts of the Scripture; but especially the New Testament",2642,4
"2223","T165458","A compleat body of husbandry",73,1
"2224","T165524","An essay on grammar, as it may be applied to the English language. In two treatises",3379,24
"2225","T165555","Doctor Watts's imitation of the Psalms of David, corrected and enlarged",594,1
"2226","T165603","An essay concerning human understanding",156,1
"2227","T165679","Judas Macchabæus",124,2
"2228","T165738","The young philosopher",99,1
"2229","T165839","The adventures of the Guildford Jack-Daw",141,1
"2230","T165930","The christmas frolick",4587,15
"2231","T165980","English grammar: or, An essay towards speaking and writing the English language grammatically, and inditing elegantly",3458,6
"2232","T165996","The correspondence of Theodosius and Constantia, from their first acquaintance to the departure of Theodosius",10243,4
"2233","T166062","The female reader",16319,13
"2234","T16609","A survey of the wisdom of God in the creation",679,3
"2235","T166103","A rhetorical grammar of the English language",3671,13
"2236","T166137","A dialogue on public worship, between Mr. Alamode, a young gentleman of fortune; and Mr. Freeman, an aged country gentleman. The second edition, with additions. By William Peterkin, M.A",810,2
"2237","T166140","The tea-Table miscellany",546,2
"2238","T166157","The only sure guide to the English tongue",4125,1
"2239","T166181","A short introduction to English grammar",1072,6
"2240","T166194","Grammatical institutes",5160,12
"2241","T166196","Grammatical institutes",5134,12
"2242","T166198","Grammatical institutes",5173,11
"2243","T166437","A guide to prayer",895,2
"2244","T166485","The Guardian",2260,6
"2245","T166489","A guide to prayer",877,2
"2246","T166497","The Guardian",2739,5
"2247","T16651","A collection of psalms, and divine hymns",1962,2
"2248","T16667","Biographia Evangelica",473,2
"2249","T166800","British songs. Sacred to love and virtue",4565,3
"2250","T166801","The British songster",1809,3
"2251","T166826","Instructive and entertaining exercises, with the rules of the French syntax. By John Perrin",562,5
"2252","T166869","Grammatical strictures on the English language. By William Belchier, Esq. Kent",110,2
"2253","T166917","An introduction to Latin syntax",2127,12
"2254","T166919","An introduction to Latin syntax",2198,10
"2255","T166920","An introduction to Latin syntax",2151,10
"2256","T166925","An introduction to reading and spelling. By William Scott, author of lessons in elocution, and a new spelling and pronouncing dictionary of the English language; and teacher of English, writing, and accounts",15760,7
"2257","T167043","An introductory essay on the art of reading, and speaking in public, part first and second",11229,10
"2258","T167169","A Collection of hymns and spiritual songs. Published by John Edwards, minister of the gospel, at Leeds in Yorkshire",643,2
"2259","T167172","A Collection of hymns adapted to public worship. The sixth edition, corrected. With a small supplement",1895,7
"2260","T167174","A Collection of English prose and verse, for the use of schools. By Arthur Masson, M.A. teacher of languages in Edinburgh",131214,62
"2261","T167175","A collection of English prose and verse",99400,42
"2262","T167207","A Collection of English prose and verse, for the use of schools, selected from different authors",41434,22
"2263","T167216","A Collection from the spectator, tatler, guardian, Mr. Pope, Mr. Dryden, from Mr. Rollin's method of teaching and studying the belles lettres, and his universal history. For the benefit of English schools",141382,67
"2264","T167230","The club",1265,9
"2265","T167262","Essays on the nature and immutability of truth in opposition to Sophistry and Scepticism",398,2
"2266","T167275","The club: or, A grey cap for a green head; in a dialogue between father and son. In vino veritas",544,4
"2267","T167345","Select psalms for the use of Portman-Chapel",1152,3
"2268","T167360","Crito: or, A dialogue on beauty. By Sir Harry Beaumont",67,1
"2269","T167362","Crito: or, A dialogue on beauty. By Sir Harry Beaumont",67,1
"2270","T167414","An introduction to the use of the globes",453,2
"2271","T167416","A collection of essays",9108,28
"2272","T167515","^A Collection of poems, essays, and epistles",7656,8
"2273","T167516","A collection of poems",7748,8
"2274","T167531","A Collection of prose and verse, from the best English authors. For the use of schools. By Arthur Masson, M.A. late teacher of languages in Edinburgh and Aberdean",119275,51
"2275","T167575","A collection of Psalms and hymns for the Lord's day",2734,8
"2276","T167606","Hope's curious and comic missellaneous works, started in his walks",1356,6
"2277","T167639","The History of little goody two-shoes; otherwise called, Mrs. Margery two-shoes",395,2
"2278","T167699","The briton",1257,6
"2279","T167779","Psalms",1006,2
"2280","T167781","Psalms",511,1
"2281","T167783","Psalms hymns and anthems for the Foundling Chapel",916,5
"2282","T167784","Psalms hymns and anthems for the Foundling Chapel",1007,6
"2283","T167914","The British letter writer",2238,8
"2284","T167933","Lectures on rhetoric and belles lettres",22270,91
"2285","T168052","Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone",371,1
"2286","T168056","Letters on the most common, as well as most important occasions in life",2661,5
"2287","T168057","Letters on the most common, as well as important, occasions in life",9175,5
"2288","T168067","The letters that passed between Theodosius and Constantia",10068,5
"2289","T168076","Letters on several subjects",168,1
"2290","T168114","Quinti Horatii Flacci opera",224,1
"2291","T168255","The rational spelling-book",897,2
"2292","T168279","The reader",2388,5
"2293","T168306","Reading made perfectly easy",327,1
"2294","T168314","A survey of the wisdom of God in the creation",1227,6
"2295","T168388","The rambler",972,4
"2296","T168390","The rambler",948,4
"2297","T168401","The rambler",974,4
"2298","T168591","A regular English syntax",4196,12
"2299","T168774","Remarkable occurrences in the life of Jonas Hanway, esq",503,2
"2300","T168798","The life of John, Duke of Marlborough, Prince of the Roman Empire",2986,10
"2301","T168926","The kentish register",731,3
"2302","T169105","Modern times, or, The adventures of Gabriel Outcast",1378,12
"2303","T169113","The Psalms of David",729,1
"2304","T169144","The Psalms of David",759,1
"2305","T169331","The Lilliputian library; Or, Gulliver's museum",7864,5
"2306","T169404","The orphan",918,2
"2307","T169457","The charms of melody",2040,7
"2308","T169501","Rochester's jests",305,1
"2309","T169502","Rochester's jests",304,1
"2310","T169555","Moral tales, essays and fables, for the instruction of youth",1652,3
"2311","T169632","The Little female orators; or, Nine evenings entertainment. With observations. Embellished with cuts",32839,52
"2312","T169652","An overture for a right constitution of the General Assembly",193,1
"2313","T169664","The lives of the Roman poets",503,2
"2314","T169972","P. Ovidii Nasonis metamorphoseon",405,4
"2315","T170104","Moral and divine observations, from remarkable occurrences during the author's travels in a tour through part of this kingdom",220,2
"2316","T170125","Moral instructions of a father to his son, ready to undertake a long voyage",1824,9
"2317","T170201","The lounger. A periodical paper",431,2
"2318","T170208","The Charms of melody. Being a select collection of the newest and most approved hunting and sporting songs, &c",82,1
"2319","T170329","The] pantheon: or, Fabulous history of the heathen gods, goddesses, heroes, &c",510,1
"2320","T170346","The papers of Joseph Addison",1837800,780
"2321","T170381","Paradise lost",257638,400
"2322","T170403","Paradise lost",256848,214
"2323","T170410","Paradise lost",251973,465
"2324","T170545","Paradise lost",257326,400
"2325","T170585","M. Tullii Ciceronis opuscula",326,2
"2326","T170589","M. Tullii Ciceronis opuscula",341,2
"2327","T170668","Madam Johnson's present",1222,7
"2328","T170669","Madam Johnson's present",1160,8
"2329","T170684","M. Tullii Ciceronis orationes selectæ",126,1
"2330","T170724","The muse's vagaries",967,3
"2331","T170918","Reflections on national reformation",71,1
"2332","T170973","A letter to a friend, setting forth the case of the author of the marine surveyor",277,3
"2333","T171015","Phedon",315,1
"2334","T171202","Medical instructions towards the prevention",415,2
"2335","T171225","Meditations and contemplations",4686,16
"2336","T171226","Meditations and contemplations",3667,10
"2337","T171229","Meditations and contemplations",4960,17
"2338","T171230","Meditations and contemplations",5027,17
"2339","T171232","Meditations and contemplations",5020,17
"2340","T171233","Meditations and contemplations",5046,17
"2341","T171238","Meditations and contemplations",4969,21
"2342","T171250","Meditations and contemplations",3540,16
"2343","T171255","Meditations and contemplations",4983,18
"2344","T171271","Meditations and contemplations",4121,16
"2345","T171274","Meditations and contemplations",4000,16
"2346","T171279","Meditations and contemplations",4918,17
"2347","T171281","Meditations and contemplations",4678,17
"2348","T171302","A new pocket companion for Oxford",536,2
"2349","T171306","Rhetoric made familiar and easy to young gentlemen and ladies, and illustrated with several beautiful orations from demosthenes, cicero, sallust, Homer, Shakespeare, Milton, &c",1135,3
"2350","T171342","Publii Virgilii Maronis Bucolica, Georgica et Aeneis; ad optimas editiones castigata",382,3
"2351","T171390","The matrimonial preceptor",85615,91
"2352","T171441","The psalms of David in metre",1983,2
"2353","T171473","The manner pointed out in which the common prayer was read in private by the Late Mr. Garrick",230,1
"2354","T171519","Lessons in reading; or, Miscellaneous pieces in prose and verse, selected from the best English authors",66958,36
"2355","T171569","Psalms selected for the use of St. Peter's Church, Drogheda",2408,6
"2356","T171572","The Psalms of David, in metre",2510,3
"2357","T171574","Translations and paraphrases, in verse; of several passages of sacred scripture",2647,3
"2358","T171590","The Psalms of David, in metre",736,1
"2359","T172232","Memoirs of wool, woolen manufacture, and trade, (Particularly in England) from the earliest to the present times; with occasion notes, dissertations, and reflections. By John Smith, LL.B. In Two volumes",453,1
"2360","T172296","The magdalen",356,2
"2361","T172300","Miscellaneous arithmetic",162,1
"2362","T172390","The miscellaneous works of Tobias Smollett",78,1
"2363","T172474","The Scots blackbird",2060,3
"2364","T172646","Seasonable advice to Protestants",312,1
"2365","T172797","The retirement",172,1
"2366","T172819","The coalitional rencontre anticipated",63,1
"2367","T172865","A pocket hymn book",2149,6
"2368","T172867","A pocket hymn book",2046,5
"2369","T172869","A pocket hymn book",1853,3
"2370","T172871","A Pocket companion for Oxford",535,2
"2371","T172873","Plutarch's lives, in six volumes",88,1
"2372","T172993","Plutarch's lives, translated from the original Greek. With notes critical and historical; and a life of Plutarch. By S. Langhorne, D.D. William Langhorne, A.M. John Dryden, &c",154,2
"2373","T172996","Plutarch's lives",84,1
"2374","T1730","Hudibras",4277,11
"2375","T173008","A system of rhetorick, in a method entirely new",1072,2
"2376","T173045","A pocket hymn book for the use of Christians of all denominations",2060,5
"2377","T1731","Philodamus",160,1
"2378","T173110","Poems by Mr. Jerningham",242,1
"2379","T173121","Milton's poetical works",701,2
"2380","T173167","A pocket hymn book",2019,5
"2381","T173212","The mirror",136,1
"2382","T173291","The miscellaneous works of Bishop Atterbury",330,1
"2383","T173369","Poems for young ladies. In three parts. Devotional, moral, and entertaining. Selected by Dr. Goldsmith",10487,9
"2384","T173389","A modern, authentic and com[plete] system of universal geography",3845,8
"2385","T173472","Poems on several occasions",71,1
"2386","T173536","Poems on several occasions",14521,3
"2387","T173552","Poems on various subjects",9980,14
"2388","T173672","A plain and friendly address to the under-graduates of the University of Cambridge",300,1
"2389","T173732","Memoirs of the life, of John Pavey, written by himself",1208,2
"2390","T173886","The tea-table miscellany",1072,4
"2391","T173889","The tea-table miscellany",1034,3
"2392","T173895","The tea-table miscellany: or, A collection of scots sangs",484,1
"2393","T173899","The tea-table miscellany: or, A collection of choice songs, Scots & English. In four Volumes. By Allan Ramsay",900,2
"2394","T173902","The tea-table miscellany: or, A collection of Scots songs. By Allan Ramsay",578,3
"2395","T173923","The tea-table miscellany: a collection of choice songs, Scots and English",1013,3
"2396","T174025","The pleasant companion, or, merry & complete favourite jester",139,1
"2397","T174031","The pleasing jester",355,1
"2398","T174032","The Pleasing instructor: or, Entertaining moralist",124487,52
"2399","T174057","A practical grammar of the English language",7611,54
"2400","T174070","A practical grammar of the English language",9381,74
"2401","T174207","A treatise on virtue and happiness. By Mr. Nettleton",163,1
"2402","T174208","A treatise on virtue and happiness",154,1
"2403","T174209","A treatise on virtue and happiness",154,1
"2404","T174365","A long ramble",370,2
"2405","T174440","The poetical works",146,1
"2406","T174452","Select Psalms, from different versions; to which are added a few occasional hymns",2420,11
"2407","T174456","A third letter to a British merchant",155,1
"2408","T174467","Premiums offered by the Dublin Society, for agriculture and planting. 1787",106,2
"2409","T174468","Premiums offered by the Dublin Society, for agriculture and planting. 1786",104,2
"2410","T174475","The poetical works of Alexander Pope, Esq",514,1
"2411","T174539","Thoughts of Cicero",198,1
"2412","T174573","The great importance of a religious life consider'd",1836,4
"2413","T174574","Theron and Aspasio",1135,2
"2414","T174576","Theron and Aspasio: or, A series of dialogues and letters, upon the most important and interesting subjects",1479,5
"2415","T174604","Thoughts on religion, and other curious subjects",538,2
"2416","T174606","Thoughts on religion, and other curious subjects",338,1
"2417","T17502","Christian essays upon the immorality of uncleanness and duelling",391,1
"2418","T175139","The world",524,2
"2419","T175209","The rule of life",4733,28
"2420","T175334","The ladies complete letter-writer",22480,26
"2421","T175431","Self-knowledge: A treatise; shewing the nature and benefit of that important science, and the way to attain it",1516,3
"2422","T175433","A short introduction to English grammar. With critical notes. By the Rev. Dr. Lowth",2334,16
"2423","T175443","A short introduction to English grammar: with critical notes",1561,10
"2424","T175446","A short introduction to English grammar: with critical notes. A new edition corrected. By Robert Lowth, D.D. now lord bishop of Oxford",1578,11
"2425","T175456","A short introduction to English grammar: with critical notes. By Robert Lowth, D.D",1399,9
"2426","T175623","The Seraph. A collection of divine hymns and poems. From the best authors",15338,11
"2427","T175624","A series of letters",506,4
"2428","T175636","Leisure hours amusements for town and country",130571,126
"2429","T175667","An universal history",144,1
"2430","T175676","Select hymns for the use of Christians of all denominations",2045,5
"2431","T175707","Select poems, from Dodsley's collection",95,1
"2432","T175722","Select portions of the Psalms, both old and new version",1379,2
"2433","T175803","A selection of curiosities of literature, consisting of wonders of nature and art",496,2
"2434","T175831","The way to keep him",109,1
"2435","T175833","A Selection of prose and poetic lessons, on the most sublime and interesting subjects, proper to be impressed on the minds of youth",722,2
"2436","T175848","The rule of life",2519,12
"2437","T175886","The selector",32943,22
"2438","T175989","Revived. The delicate jester; or Wit and humour without ribaldry",450,2
"2439","T175990","Translations and paraphrases in verse, of several passages of Sacred Scripture. Collected and prepared by a Committee of the General Assembly of the Church of Scotland, in order to be sung in churches",2534,3
"2440","T175996","Translations and paraphrases, in verse, of several passages of Sacred Scripture. Collected and prepared by a Committee of the General Assembly of the Church of Scotland, in order to be sung in churches",456,2
"2441","T175997","Translations and paraphrases, in verse, of several passages of Sacred Scripture. Collected and prepared by a Committee of the General Assembly of the Church of Scotland, in order to be sung in churches",3470,5
"2442","T175999","Translations and paraphrases, in verse, of several passages of Sacred Scripture. Collected and prepared by a Committee of the General Assembly of the Church of Scotland, in order to be sung in churches",2684,3
"2443","T176002","Translations and paraphrases, in verse, of several passages of Sacred Scripture. Collected and prepared by a Committee of the General Assembly of the Church of Scotland, in order to be sung in churches",2553,3
"2444","T176004","Translations and paraphrases, in verse, of several passages of Sacred Scripture. Collected and prepared by a Committee of the General Assembly of the Church of Scotland, in order to be sung in churches",397,2
"2445","T176042","Miscellanies by Dr. Swift, Dr. Arbuthnot, Mr. Pope, and Mr. Gay",73,1
"2446","T176056","The strange and unaccountable life of the penurious Daniel Dancer, Esq",101,1
"2447","T176110","A short account of the French poetry",372,1
"2448","T176269","Warrant of the charter erecting the Royal Bank of Scotland",144,2
"2449","T17656","Poor Robin",6905,29
"2450","T17657","Poor Robin",646,6
"2451","T176572","An oxford dream",276,2
"2452","T17661","Old Poor Robin",3043,3
"2453","T176777","Thf [sic] resigners vindicated",140,1
"2454","T176796","A portrait of oratory",211,1
"2455","T177272","The Matrimonial preceptor a collection of examples and precepts relating to the married state",83355,92
"2456","T177280","Travels of anacharsis the younger in Greece",456,2
"2457","T177327","Rules and maxims",1174,4
"2458","T177333","Original letters and essays",7525,24
"2459","T177358","The reflector",286,2
"2460","T177420","The treasury of wit",865,1
"2461","T177444","The tea-table miscellany: or, A collection of choice songs, Scots and English",1018,3
"2462","T177446","The tea-table miscellany",900,2
"2463","T177452","The oeconomy of human life",149,1
"2464","T177457","The tea-table miscellany: or, A collection of choice songs, Scots and English, in two volumes",1021,3
"2465","T177497","Wisdom in miniature: or the young gentleman and lady's pleasing instructor",4498,27
"2466","T177501","The works of Alexander Pope, Esq",15324,34
"2467","T177537","The works",784,4
"2468","T177583","Strictures on female education",276,1
"2469","T177640","Travels through Holland, Germany, Switzerland",160,1
"2470","T177668","The world",536,2
"2471","T177698","The Young gentleman and ladies monitor",196907,106
"2472","T177707","The Young gentleman and ladies monitor, and, English teacher's assistant",135607,71
"2473","T177730","Miscellaneous translations in prose and verse",182,1
"2474","T177738","The universal spectator",1296,8
"2475","T177745","Sentences and maxims divine, moral, and historical, in prose and verse",166,1
"2476","T177770","M. Val. Martialis epigrammata",192,1
"2477","T17788","The works of Petronius Arbiter",490,1
"2478","T177880","A Summary account of the deists religion: in a letter to that excellent physician, the Late Dr. Thomas Sydenham",124,1
"2479","T17789","The works of Petronius Arbiter",348,1
"2480","T177899","A succinct description of that elaborate and matchless pile of art, called, the microcosm",475,1
"2481","T177900","A succinct description of that elaborate and matchless pile of art, called, the microcosm",453,2
"2482","T177920","The works of Alexander Pope Esq. in nine volumes complete",7706,26
"2483","T177921","The works of Alexander Pope Esq. volume II. Containing his translations and imitations",502,1
"2484","T177923","The works of Alexander Pope Esq. volume V. Containing the dunciad in four books",2774,8
"2485","T177924","The works of Alexander Pope Esq. volume VI",212,2
"2486","T177925","The works of Alexander Pope Esq. volume VII. Containing the first of his letters",2976,5
"2487","T177945","A summary defence of the Right Hon. Edmund Burke. In two letters",152,1
"2488","T17819","A short account of God's dealings with the Reverend Mr. George Whitefield",695,3
"2489","T178203","A new collection of miscellany poems, for the year 1715",571,1
"2490","T17822","The virgin in Eden",3655,21
"2491","T178228","Two sermons: lately preached at Hawkshead in Lancashire. By the Rev'd Mr. Dawes",178,2
"2492","T17825","A christian library",405,2
"2493","T178314","The Merry companion: or, Universal songster",884,2
"2494","T178321","The merry companion",4491,4
"2495","T178360","The London complete songster; or musical boquet [sic",470,1
"2496","T178387","The lark",3033,1
"2497","T17839","A pocket hymn book",2042,5
"2498","T17840","A pocket hymn book",2040,5
"2499","T17841","A pocket hymn book",2038,5
"2500","T178446","The kentish songster",1558,2
"2501","T178486","A short account of God's dealings with the Reverend Mr. George Whitefield, late of Pembroke College, Oxford",746,2
"2502","T178561","The tatler",75,1
"2503","T178667","A natural history of singing birds",154,2
"2504","T178686","A new introduction to reading",9955,13
"2505","T178700","The Young lady's pocket library",75,1
"2506","T178723","Théatre a l'usage des jeunes personnes",206,2
"2507","T178745","The new entertaining frisky songster",3435,2
"2508","T178778","The young orator",1975,3
"2509","T178781","The polite instructor",20514,9
"2510","T178811","Vocal melody",7139,6
"2511","T178917","The wit's magazine",1260,2
"2512","T178997","The naval",852,1
"2513","T179061","The Musical companion",372,1
"2514","T179081","The polite songster",2983,1
"2515","T179125","The Musical companion: or, Lady's magazine",3032,1
"2516","T179157","The merry man's companion",3988,3
"2517","T179245","The Vocal miscellany a collection of above four hundred celebrated songs",3410,3
"2518","T179252","A new whim of the day",82,1
"2519","T179552","Letters, chiefly written for comforting those bereaved of children or friends",1245,4
"2520","T179605","Twenty fables in prose. With reflections on fables. By R.B",1992,5
"2521","T179623","The tea-table miscellany",557,2
"2522","T179626","The tea-table miscellany; or, Allan Ramsay's collection of Scots sangs. Volume second",117,1
"2523","T179664","The works of Mrs Elisabeth Rowe",106,1
"2524","T179693","The works of Mr. Daniel Roderick O'Conor",130,1
"2525","T179694","The Vocal magazine; or, Compleat British songster",2836,3
"2526","T179705","What should be done: or, Remarks on the political state of things",1075,5
"2527","T179727","The works of Henry Fielding, Esq",63,1
"2528","T179737","The works of Shakespear",104,1
"2529","T179769","The lady's New-year's-gift: or, Advice to a daughter",9929,3
"2530","T179780","The lady's preceptor: or, A letter to a young lady of distinction, upon politeness",64,1
"2531","T179988","A poem on the last day; with the force of religion",21578,7
"2532","T180032","The weekly musuem",5591,4
"2533","T180085","New Joe Miller",836,2
"2534","T180136","The Vocal union",104,1
"2535","T180214","A new general history of the world",429,3
"2536","T180336","The young gentleman and ladies monitor",205014,93
"2537","T180513","Two sermons preached at Blandford, upon occasion of the late dreadful fire in that place",131,1
"2538","T180594","The Syren",4524,5
"2539","T180595","The syren",4142,2
"2540","T180597","The vocal medley or",1578,2
"2541","T180683","A treatise on the universal spread of the Gospel",844,4
"2542","T180694","Cheap Repository. The shepherd of Salisbury Plain. In two parts",715,1
"2543","T180695","Cheap Repository. The shepherd of Salisbury Plain. In two parts",608,2
"2544","T180696","Cheap Repository. The shepherd of Salisbury plain. In two parts",703,1
"2545","T180716","The only sure guide to the English tongue; or, New pronouncing spelling-book",4244,1
"2546","T180748","The wood-Lark",2830,2
"2547","T180750","A short account of Ann Rogers",92,1
"2548","T180751","A short account of Ann Rogers. By John Johnson",93,1
"2549","T180950","The pleasing companion",118,1
"2550","T181088","The observer: being a collection of moral, literary and familiar essays",600,2
"2551","T181090","The new pantheon: or, Fabulous history of the heathen gods, goddesses, heroes, &c",511,1
"2552","T181133","The world",663,3
"2553","T181137","The works of Tacitus",298,2
"2554","T181219","The prisoners advocate",303,1
"2555","T181225","Select lessons",546,1
"2556","T181296","Letters addressed to His Highness the Prince of *****",157,1
"2557","T181348","A new pocket companion for Oxford",534,2
"2558","T181408","A sermon preach'd before the Herefordshire society at St. Michael's Cornhill",409,3
"2559","T181440","The pleasing instructor",152225,53
"2560","T181473","Cato",1594,4
"2561","T181735","A new translation of Ovid's epistles into English prose",1043,5
"2562","T181793","The New week's preparation for a worthy receiving of the Lord's Supper, as appointed and practised by the Church of England; part the second",596,1
"2563","T181797","The New week's preparation for a worthy receiving of the Lord's Supper",1147,4
"2564","T181801","The new universal etymological English dictionary",372,4
"2565","T181824","The Vocal magazine; or, Compleat British songster",1317,5
"2566","T181832","An essay on the existence of a God",744,5
"2567","T181890","The Prompter: political and moral. In essays, characters, and anecdotes",168,1
"2568","T181908","The distrest mother",323,1
"2569","T181909","The distrest mother",298,1
"2570","T181911","The distrest mother, A tragedy, By Mr. Philips",299,1
"2571","T181914","The distrest mother. A tragedy. By Ambrose Philips",293,1
"2572","T181917","The distrest mother",317,1
"2573","T181924","The distrest mother. A tragedy. By Mr. Amb. Philips",294,1
"2574","T181955","The Next week's preparation for a worthy receiving of the Lord's Supper, as appointed by the Church of England",588,1
"2575","T181958","Fisher's grammar improved; Or, An English grammar in which Fisher's plan is preserved",5141,20
"2576","T181963","The New week's preparation for a worthy receiving of the Lords Supper, as recommended and appointed by the Church of England",847,1
"2577","T181965","The New week's preparation for a worthy receiving of the Lord's Supper, as recommended and appointed by the Church of England; consisting of meditations and prayers for the morning and evening of every day in the week",1271,2
"2578","T181966","A pocket companion for Oxford",531,2
"2579","T181967","The Psalms of David",720,1
"2580","T181975","Friendship in death",232,1
"2581","T182030","Essay on the rise and progress of gardening in Ireland. By Joseph C. Walker, M.R.I.A. correspondent fellow of the Antiquarian Society of Perth, and Hoxorary member of the Etruscan Academy of Corto[n]a",104,1
"2582","T182090","A new and literal translation of the I, III, IV, Vii, Viii, X, XIII, & XIV satires of Juvenal",161,1
"2583","T182118","The newest and most compleat polite familiar letter-writer",6688,9
"2584","T182270","Psalms and hymns",2462,5
"2585","T182296","A collection of hymns and sacred poems: in two parts. For all denominations",1841,4
"2586","T182306","The Folly of punns, or, False-Witt disclosed",139,1
"2587","T182331","A pocket hymn book",2284,8
"2588","T182355","Sermons",2385,5
"2589","T182395","Letters on various occasions",282,1
"2590","T182723","A discourse concerning the religious observation of the Lord's Day, both doctrinal and practical",3247,9
"2591","T182753","Discourses on a sober and temperate life",995,2
"2592","T182924","Oeconomy of human life. In two parts",135,1
"2593","T182973","An enquiry into the principle, rule and end of moral actions",2804,10
"2594","T183004","For excellent new songs",3028,1
"2595","T183167","Translations and paraphrases, in verse, of several passages of Sacred Scripture",2244,9
"2596","T183168","Translations and paraphrases] in verse, of several passages of Sacred Scripture[.",2533,4
"2597","T183208","A display of genuine Christianity, and Christian love recommended to young and old. Or, A collection of select tracts, sentences, and choice hints, on divine and moral subjects taken from the best authors",988,4
"2598","T183243","A Few mathematical and critical remarks on the sword",210,1
"2599","T183269","Fifty sermons on several subjects and occasions",1308,3
"2600","T183347","Essays",7830,4
"2601","T183411","The Comical adventures, of the Late Mr. James Spiller Comedian at Epsom, in England",1370,2
"2602","T183425","Cato",1455,5
"2603","T183550","Ethics",477,3
"2604","T183552","Ethics",403,2
"2605","T183621","The lives of the English poets",350,2
"2606","T183653","The accountant",434,1
"2607","T183663","The excellency and great improtance of the Hebrew language, demonstrated by the united testimony of upwards of fifty celebrated authors",1423,1
"2608","T183814","A Commentary on the Book of Psalms",558,2
"2609","T184007","Decerpta ex P. Ovidii Nasonis Metamorphoseon libris",210,2
"2610","T184008","Decerpta ex P. Ovidii Nasonis Metamorphoseôn libris",131,1
"2611","T184010","Decerpta ex P. Ovidii Nasonis Metamorphoseôn libris",121,1
"2612","T184013","Decerpta ex P. Ovidii Nasonis Metamorphoseon libris",120,1
"2613","T184014","Decerpta ex P. Ovidii Nasonis Metamorphoseon libris",212,2
"2614","T184080","A collection of hymns",1261,5
"2615","T184255","The history of the life of Tamerlane the Great",1028,8
"2616","T184299","Fables by John Gay",1115,4
"2617","T184303","Friendship in death, in twenty letters from the dead to the living",239,1
"2618","T184489","Cato",1010,3
"2619","T184540","The blackbird",2014,3
"2620","T184569","Fables of Æsop and others, translated into English",1200,2
"2621","T184667","Grammatical institutes",5318,14
"2622","T184752","An essay concerning human understanding",151,1
"2623","T184757","Exercises in Latin composition",679,3
"2624","T184891","The aviary",2988,1
"2625","T185000","A Collection of prose and verse, selected from the most eminent authors. By James Landells, M.A",75302,25
"2626","T185005","A collection of Psalms for Christian worship",2760,5
"2627","T185012","The compleatest collection of old and new English and Scotch songs",1168,1
"2628","T185023","The works of the most celebrated minor poets",7124,2
"2629","T185039","The adventures of Roderick Random",85,1
"2630","T185041","Grammatical exercises",426,2
"2631","T185052","A collection of interesting anecdotes",303,2
"2632","T185088","A dissertation on scripture imprecations",1372,3
"2633","T1851","The essays",214,1
"2634","T185100","A dictionary of the English language",96,1
"2635","T185126","A dissertation upon head dress",1309,4
"2636","T185168","The chaplet of chearfulness",185,1
"2637","T185375","A collection of hymns, psalms, and anthems",1354,2
"2638","T185433","An essay on criticism",1066,4
"2639","T185446","Hymns and psalms for the service of Fitz-Roy chapel, London",519,1
"2640","T185514","An essay concerning human understanding",156,1
"2641","T185559","The fatal curiosity",70,1
"2642","T185595","Hymns, proper for Christian worship",1766,5
"2643","T185624","Essays and dissertations on various subjects",236,1
"2644","T185700","The oeconomy of human life",133,1
"2645","T185726","The odyssey of Homer",112,1
"2646","T185727","Cato",1580,4
